date,gold_price,usd_rate,oil_price,bond_yield_price,interest_rate,inflation_rate,gold_price_after_1_day
2016-07-18,1329.3,96.56,45.24,1.582,0.4,1.49,1332.3
2016-07-19,1332.3,97.06,44.65,1.558,0.4,1.44,1319.3
2016-07-20,1319.3,97.2,44.94,1.58,0.4,1.46,1331.0
2016-07-21,1331.0,97.0,44.75,1.556,0.4,1.52,1323.4
2016-07-22,1323.4,97.47,44.19,1.566,0.4,1.51,1319.5
2016-07-25,1319.5,97.29,43.13,1.575,0.4,1.5,1320.8
2016-07-26,1320.8,97.16,42.92,1.563,0.4,1.5,1326.7
2016-07-27,1326.7,97.05,41.92,1.503,0.4,1.49,1341.2
2016-07-28,1341.2,96.74,41.14,1.508,0.4,1.52,1357.5
2016-07-29,1357.5,95.53,41.6,1.45,0.3,1.49,1359.6
2016-08-01,1359.6,95.71,40.06,1.52,0.4,1.46,1372.6
2016-08-02,1372.6,95.06,39.51,1.554,0.4,1.44,1364.7
2016-08-03,1364.7,95.56,40.83,1.545,0.4,1.46,1367.4
2016-08-04,1367.4,95.76,41.93,1.503,0.4,1.47,1344.4
2016-08-05,1344.4,96.19,41.8,1.59,0.4,1.5,1341.3
2016-08-08,1341.3,96.4,43.02,1.592,0.4,1.51,1346.7
2016-08-09,1346.7,96.18,42.77,1.549,0.4,1.49,1351.9
2016-08-10,1351.9,95.65,41.71,1.513,0.4,1.44,1350.0
2016-08-11,1350.0,95.86,43.49,1.561,0.4,1.47,1343.2
2016-08-12,1343.2,95.72,44.49,1.51,0.4,1.44,1347.5
2016-08-15,1347.5,95.63,45.74,1.558,0.4,1.45,1356.9
2016-08-16,1356.9,94.79,46.58,1.575,0.4,1.44,1348.8
2016-08-17,1348.8,94.72,46.79,1.549,0.4,1.47,1357.2
2016-08-18,1357.2,94.16,48.22,1.534,0.4,1.47,1346.2
2016-08-19,1346.2,94.51,48.52,1.58,0.4,1.48,1343.4
2016-08-22,1343.4,94.52,47.05,1.544,0.4,1.47,1346.1
2016-08-23,1346.1,94.54,48.1,1.546,0.4,1.48,1329.7
2016-08-24,1329.7,94.79,46.77,1.563,0.4,1.48,1324.6
2016-08-25,1324.6,94.77,47.33,1.578,0.4,1.49,1325.9
2016-08-26,1325.9,95.57,47.64,1.628,0.4,1.47,1327.1
2016-08-29,1327.1,95.58,46.98,1.563,0.4,1.46,1316.5
2016-08-30,1316.5,96.05,46.35,1.57,0.4,1.46,1311.4
2016-08-31,1311.4,96.02,44.7,1.578,0.3,1.47,1317.1
2016-09-01,1317.1,95.65,43.16,1.568,0.4,1.45,1326.7
2016-09-02,1326.7,95.84,44.44,1.607,0.4,1.47,1354.0
2016-09-07,1349.2,94.96,45.5,1.536,0.4,1.51,1341.6
2016-09-08,1341.6,95.03,47.62,1.601,0.4,1.52,1334.5
2016-09-09,1334.5,95.34,45.88,1.675,0.4,1.5,1325.6
2016-09-12,1325.6,95.09,46.29,1.666,0.4,1.51,1323.7
2016-09-13,1323.7,95.63,44.9,1.729,0.4,1.49,1326.1
2016-09-14,1326.1,95.33,43.58,1.698,0.4,1.49,1318.0
2016-09-15,1318.0,95.29,43.91,1.698,0.4,1.49,1310.2
2016-09-16,1310.2,96.11,43.03,1.694,0.4,1.51,1317.8
2016-09-19,1317.8,95.84,43.3,1.707,0.4,1.5,1318.2
2016-09-20,1318.2,96.02,43.44,1.693,0.4,1.49,1331.4
2016-09-21,1331.4,95.66,45.34,1.655,0.4,1.51,1344.7
2016-09-22,1344.7,95.45,46.32,1.618,0.4,1.55,1341.7
2016-09-23,1341.7,95.48,44.48,1.62,0.4,1.57,1344.1
2016-09-26,1344.1,95.3,45.93,1.584,0.4,1.54,1330.4
2016-09-27,1330.4,95.44,44.67,1.56,0.4,1.52,1323.7
2016-09-28,1323.7,95.43,47.05,1.572,0.4,1.56,1326.0
2016-09-29,1326.0,95.53,47.83,1.558,0.4,1.54,1317.1
2016-09-30,1317.1,95.46,48.24,1.598,0.29,1.6,1312.7
2016-10-03,1312.7,95.69,48.81,1.627,0.4,1.63,1269.7
2016-10-04,1269.7,96.17,48.69,1.69,0.4,1.62,1268.6
2016-10-05,1268.6,96.12,49.83,1.706,0.4,1.62,1253.0
2016-10-06,1253.0,96.77,50.44,1.739,0.4,1.64,1251.9
2016-10-07,1251.9,96.63,49.81,1.723,0.4,1.63,1260.4
2016-10-11,1255.9,97.69,50.79,1.767,0.41,1.64,1253.8
2016-10-12,1253.8,97.97,50.18,1.771,0.41,1.64,1257.6
2016-10-13,1257.6,97.52,50.44,1.746,0.41,1.63,1255.5
2016-10-14,1255.5,98.02,50.35,1.805,0.41,1.67,1256.6
2016-10-17,1256.6,97.89,49.94,1.768,0.41,1.68,1262.9
2016-10-18,1262.9,97.89,50.29,1.74,0.41,1.66,1269.9
2016-10-19,1269.9,97.92,51.6,1.747,0.41,1.68,1267.5
2016-10-20,1267.5,98.31,50.43,1.756,0.41,1.68,1267.7
2016-10-21,1267.7,98.69,50.85,1.736,0.41,1.67,1263.7
2016-10-24,1263.7,98.76,50.52,1.766,0.41,1.66,1273.6
2016-10-25,1273.6,98.72,49.96,1.758,0.41,1.7,1266.6
2016-10-26,1266.6,98.63,49.18,1.791,0.41,1.71,1269.5
2016-10-27,1269.5,98.89,49.72,1.85,0.41,1.72,1276.8
2016-10-28,1276.8,98.35,48.7,1.849,0.41,1.73,1273.1
2016-10-31,1273.1,98.44,46.86,1.826,0.31,1.73,1288.0
2016-11-01,1288.0,97.7,46.67,1.827,0.41,1.72,1308.2
2016-11-02,1308.2,97.4,45.34,1.801,0.41,1.7,1303.3
2016-11-03,1303.3,97.16,44.66,1.81,0.41,1.68,1304.5
2016-11-04,1304.5,97.06,44.07,1.778,0.41,1.68,1279.4
2016-11-07,1279.4,97.78,44.89,1.828,0.41,1.71,1274.5
2016-11-08,1274.5,97.86,44.98,1.858,0.41,1.73,1273.5
2016-11-09,1273.5,98.5,45.27,2.068,0.41,1.82,1266.4
2016-11-10,1266.4,98.78,44.66,2.138,0.41,1.88,1224.3
2016-11-14,1221.7,100.11,43.32,2.254,0.41,1.83,1224.5
2016-11-15,1224.5,100.23,45.81,2.23,0.41,1.82,1223.9
2016-11-16,1223.9,100.41,45.57,2.214,0.41,1.83,1216.9
2016-11-17,1216.9,100.89,45.42,2.297,0.41,1.87,1208.7
2016-11-18,1208.7,101.21,45.69,2.348,0.41,1.9,1209.8
2016-11-21,1209.8,101.05,47.49,2.314,0.41,1.91,1211.2
2016-11-22,1211.2,101.04,48.03,2.314,0.41,1.9,1189.3
2016-11-23,1189.3,101.7,47.96,2.355,0.41,1.92,1178.4
2016-11-28,1190.8,101.33,47.08,2.312,0.41,1.85,1190.8
2016-11-29,1190.8,100.93,45.23,2.293,0.41,1.86,1173.9
2016-11-30,1173.9,101.5,49.44,2.39,0.31,1.94,1169.4
2016-12-01,1169.4,101.04,51.06,2.454,0.41,1.97,1177.8
2016-12-02,1177.8,100.77,51.68,2.392,0.41,1.91,1176.5
2016-12-05,1176.5,100.09,51.79,2.401,0.41,1.94,1170.1
2016-12-06,1170.1,100.49,50.93,2.392,0.41,1.95,1177.5
2016-12-07,1177.5,100.23,49.77,2.344,0.41,1.92,1172.4
2016-12-08,1172.4,101.1,50.84,2.409,0.41,1.95,1161.9
2016-12-09,1161.9,101.59,51.5,2.466,0.41,1.96,1165.8
2016-12-12,1165.8,101.03,52.83,2.477,0.41,1.98,1159.0
2016-12-13,1159.0,101.07,52.98,2.473,0.41,1.95,1163.7
2016-12-14,1163.7,101.76,51.04,2.567,0.41,1.94,1129.8
2016-12-15,1129.8,103.02,50.9,2.606,0.66,1.9,1137.4
2016-12-16,1137.4,102.95,51.9,2.599,0.66,1.86,1142.7
2016-12-19,1142.7,103.14,52.12,2.544,0.66,1.86,1133.6
2016-12-20,1133.6,103.29,52.23,2.56,0.66,1.9,1133.2
2016-12-21,1133.2,103.02,52.49,2.538,0.66,1.91,1130.7
2016-12-22,1130.7,103.09,52.95,2.553,0.66,1.95,1133.6
2016-12-23,1133.6,103.01,53.02,2.543,0.66,1.97,1137.25
2016-12-27,1138.8,103.02,53.9,2.561,0.66,1.99,1140.9
2016-12-28,1140.9,103.3,54.06,2.512,0.66,1.95,1158.1
2016-12-29,1158.1,102.68,53.77,2.477,0.66,1.94,1151.7
2016-12-30,1151.7,102.21,53.72,2.446,0.55,1.95,1158.5
2017-01-03,1162.0,103.21,52.33,2.448,0.66,1.98,1165.3
2017-01-04,1165.3,102.7,53.26,2.441,0.66,1.99,1181.3
2017-01-05,1181.3,101.52,53.76,2.348,0.66,1.95,1173.4
2017-01-06,1173.4,102.22,53.99,2.421,0.66,1.96,1184.9
2017-01-09,1184.9,101.93,51.96,2.368,0.66,1.95,1185.5
2017-01-10,1185.5,102.01,50.82,2.378,0.66,1.95,1196.6
2017-01-11,1196.6,101.78,52.25,2.37,0.66,1.99,1199.8
2017-01-12,1199.8,101.35,53.01,2.361,0.66,1.98,1196.2
2017-01-13,1196.2,101.18,52.37,2.398,0.66,1.99,1212.9
2017-01-18,1212.1,100.93,51.08,2.428,0.66,2.0,1201.5
2017-01-19,1201.5,101.15,51.37,2.47,0.66,2.04,1204.9
2017-01-20,1204.9,100.74,52.42,2.467,0.66,2.04,1215.6
2017-01-23,1215.6,100.16,52.75,2.401,0.66,2.02,1210.8
2017-01-24,1210.8,100.35,53.18,2.465,0.66,2.06,1197.8
2017-01-25,1197.8,100.03,52.75,2.515,0.66,2.08,1189.8
2017-01-26,1189.8,100.38,53.78,2.512,0.66,2.08,1188.4
2017-01-27,1188.4,100.53,53.17,2.486,0.66,2.08,1196.0
2017-01-30,1196.0,100.43,52.63,2.49,0.66,2.07,1211.4
2017-01-31,1211.4,99.51,52.81,2.466,0.56,2.05,1208.3
2017-02-01,1208.3,99.64,53.88,2.477,0.66,2.05,1219.4
2017-02-02,1219.4,99.79,53.54,2.474,0.66,2.05,1220.8
2017-02-03,1220.8,99.87,53.83,2.467,0.66,2.05,1232.1
2017-02-06,1232.1,99.91,53.01,2.417,0.66,2.02,1236.1
2017-02-07,1236.1,100.26,52.17,2.397,0.66,2.0,1239.5
2017-02-08,1239.5,100.28,52.34,2.34,0.66,1.96,1236.8
2017-02-09,1236.8,100.65,53.0,2.397,0.66,1.99,1235.9
2017-02-10,1235.9,100.8,53.86,2.409,0.66,2.01,1225.8
2017-02-13,1225.8,100.96,52.93,2.436,0.66,2.0,1225.4
2017-02-14,1225.4,101.25,53.2,2.472,0.66,2.01,1233.1
2017-02-15,1233.1,101.18,53.11,2.497,0.66,2.06,1241.6
2017-02-16,1241.6,100.44,53.36,2.447,0.66,2.02,1239.1
2017-02-17,1239.1,100.95,53.4,2.42,0.66,2.01,1238.9
2017-02-22,1233.3,101.22,53.59,2.415,0.66,2.04,1251.4
2017-02-23,1251.4,101.05,54.45,2.375,0.66,2.03,1258.3
2017-02-24,1258.3,101.09,53.99,2.315,0.66,2.0,1258.8
2017-02-27,1258.8,101.13,54.05,2.367,0.66,2.01,1253.9
2017-02-28,1253.9,101.12,54.01,2.397,0.57,2.02,1250.0
2017-03-01,1250.0,101.78,53.83,2.458,0.66,2.03,1232.9
2017-03-02,1232.9,102.2,52.61,2.481,0.66,2.01,1226.5
2017-03-03,1226.5,101.54,53.33,2.482,0.66,2.04,1225.5
2017-03-06,1225.5,101.64,53.2,2.494,0.66,2.01,1216.1
2017-03-07,1216.1,101.81,53.14,2.518,0.66,2.03,1209.4
2017-03-08,1209.4,102.07,50.28,2.56,0.66,2.01,1203.2
2017-03-09,1203.2,101.85,49.28,2.609,0.66,2.0,1201.4
2017-03-10,1201.4,101.25,48.49,2.575,0.66,2.01,1203.1
2017-03-13,1203.1,101.31,48.4,2.626,0.66,2.01,1202.6
2017-03-14,1202.6,101.7,47.72,2.602,0.66,1.99,1200.7
2017-03-15,1200.7,100.74,48.86,2.5,0.66,2.01,1227.1
2017-03-16,1227.1,100.36,48.75,2.537,0.91,2.02,1230.2
2017-03-17,1230.2,100.3,48.78,2.5,0.91,2.01,1234.0
2017-03-20,1234.0,100.41,48.22,2.463,0.91,2.0,1246.5
2017-03-21,1246.5,99.81,47.34,2.416,0.91,1.98,1249.7
2017-03-22,1249.7,99.68,48.04,2.403,0.91,1.97,1247.2
2017-03-23,1247.2,99.76,47.7,2.418,0.91,1.95,1248.5
2017-03-24,1248.5,99.63,47.97,2.418,0.91,1.98,1255.7
2017-03-27,1255.7,99.17,47.73,2.378,0.91,1.97,1255.6
2017-03-28,1255.6,99.71,48.37,2.42,0.91,1.97,1253.7
2017-03-29,1253.7,100.0,49.51,2.38,0.91,1.98,1248.0
2017-03-30,1248.0,100.41,50.35,2.421,0.91,1.96,1251.2
2017-03-31,1251.2,100.35,50.6,2.389,0.82,1.97,1254.0
2017-04-03,1254.0,100.54,50.24,2.323,0.91,1.96,1258.4
2017-04-04,1258.4,100.54,51.03,2.364,0.91,1.96,1248.5
2017-04-05,1248.5,100.56,51.15,2.339,0.91,1.97,1253.3
2017-04-06,1253.3,100.67,51.7,2.341,0.91,1.95,1257.3
2017-04-07,1257.3,101.18,52.24,2.382,0.91,1.94,1253.9
2017-04-10,1253.9,101.02,53.08,2.366,0.91,1.93,1274.2
2017-04-11,1274.2,100.71,53.4,2.298,0.91,1.91,1278.1
2017-04-12,1278.1,100.78,53.11,2.244,0.91,1.9,1288.5
2017-04-13,1288.5,100.56,53.18,2.232,0.91,1.92,1291.3
2017-04-17,1291.9,100.29,52.65,2.248,0.91,1.88,1294.1
2017-04-18,1294.1,99.5,52.41,2.172,0.91,1.85,1283.4
2017-04-19,1283.4,99.74,50.44,2.216,0.91,1.85,1283.8
2017-04-20,1283.8,99.78,50.27,2.236,0.91,1.85,1289.1
2017-04-21,1289.1,99.98,49.62,2.246,0.91,1.84,1277.5
2017-04-24,1277.5,99.09,49.23,2.273,0.91,1.87,1270.6
2017-04-25,1270.6,98.78,49.56,2.334,0.91,1.91,1267.6
2017-04-26,1267.6,99.05,49.96,2.303,0.91,1.9,1269.3
2017-04-27,1269.3,99.08,49.31,2.3,0.91,1.91,1271.7
2017-04-28,1271.7,99.05,49.62,2.289,0.83,1.92,1258.9
2017-05-01,1258.9,99.08,49.16,2.322,0.91,1.92,1260.5
2017-05-02,1260.5,98.98,47.99,2.287,0.91,1.88,1252.0
2017-05-03,1252.0,99.21,48.18,2.322,0.91,1.87,1232.0
2017-05-04,1232.0,98.8,45.9,2.352,0.91,1.86,1230.4
2017-05-05,1230.4,98.65,46.6,2.351,0.91,1.86,1230.6
2017-05-08,1230.6,99.06,46.84,2.389,0.91,1.86,1219.6
2017-05-09,1219.6,99.66,46.27,2.398,0.91,1.86,1222.4
2017-05-10,1222.4,99.67,47.7,2.411,0.91,1.85,1227.7
2017-05-11,1227.7,99.62,48.2,2.393,0.91,1.88,1231.1
2017-05-12,1231.1,99.25,48.17,2.326,0.91,1.84,1233.4
2017-05-15,1233.4,98.91,49.16,2.343,0.91,1.82,1239.7
2017-05-16,1239.7,98.11,49.0,2.326,0.91,1.82,1262.0
2017-05-17,1262.0,97.58,49.41,2.223,0.91,1.78,1256.1
2017-05-18,1256.1,97.88,49.66,2.228,0.91,1.8,1256.8
2017-05-19,1256.8,97.14,50.67,2.235,0.91,1.82,1264.8
2017-05-22,1264.8,96.98,51.13,2.252,0.91,1.82,1258.9
2017-05-23,1258.9,97.35,51.72,2.282,0.91,1.83,1256.5
2017-05-24,1256.5,97.24,51.59,2.252,0.91,1.81,1259.8
2017-05-25,1259.8,97.25,49.14,2.255,0.91,1.8,1271.4
2017-05-26,1271.4,97.44,50.05,2.25,0.91,1.81,1265.7
2017-05-30,1269.3,97.28,49.91,2.208,0.91,1.81,1279.0
2017-05-31,1279.0,96.92,48.56,2.206,0.83,1.81,1273.6
2017-06-01,1273.6,97.2,48.6,2.213,0.91,1.81,1283.8
2017-06-02,1283.8,96.72,47.87,2.159,0.91,1.79,1286.3
2017-06-05,1286.3,96.8,47.4,2.183,0.91,1.79,1301.1
2017-06-06,1301.1,96.64,48.19,2.145,0.91,1.77,1293.2
2017-06-07,1293.2,96.75,45.72,2.176,0.91,1.78,1279.5
2017-06-08,1279.5,96.92,45.64,2.192,0.91,1.78,1271.4
2017-06-09,1271.4,97.27,45.83,2.202,0.91,1.78,1268.9
2017-06-12,1268.9,97.14,46.08,2.214,0.91,1.75,1268.6
2017-06-13,1268.6,96.97,46.67,2.211,0.91,1.75,1275.9
2017-06-14,1275.9,96.94,44.93,2.127,0.91,1.71,1254.6
2017-06-15,1254.6,97.43,44.68,2.164,1.16,1.67,1256.5
2017-06-16,1256.5,97.16,44.97,2.153,1.16,1.67,1246.7
2017-06-19,1246.7,97.55,44.43,2.191,1.16,1.67,1243.5
2017-06-20,1243.5,97.76,43.51,2.157,1.16,1.66,1245.8
2017-06-21,1245.8,97.56,42.75,2.165,1.16,1.66,1249.4
2017-06-22,1249.4,97.59,42.97,2.148,1.16,1.69,1256.4
2017-06-23,1256.4,97.26,43.01,2.144,1.16,1.7,1246.4
2017-06-26,1246.4,97.43,43.38,2.135,1.16,1.71,1246.9
2017-06-27,1246.9,96.39,44.24,2.203,1.16,1.71,1249.1
2017-06-28,1249.1,96.01,44.74,2.226,1.16,1.73,1247.6
2017-06-29,1247.6,95.63,44.93,2.267,1.16,1.72,1244.1
2017-06-30,1244.1,95.63,46.04,2.304,1.06,1.73,1221.0
2017-07-03,1221.0,96.22,47.07,2.348,1.16,1.75,1221.7
2017-07-05,1223.4,96.29,45.13,2.327,1.16,1.75,1225.0
2017-07-06,1225.0,95.8,45.52,2.368,1.16,1.76,1211.4
2017-07-07,1211.4,96.01,44.23,2.386,1.16,1.73,1214.9
2017-07-10,1214.9,96.02,44.4,2.373,1.16,1.72,1216.4
2017-07-11,1216.4,95.67,45.04,2.361,1.16,1.75,1220.8
2017-07-12,1220.8,95.76,45.49,2.319,1.16,1.76,1218.9
2017-07-13,1218.9,95.73,46.08,2.348,1.16,1.77,1229.1
2017-07-14,1229.1,95.15,46.54,2.332,1.16,1.76,1235.3
2017-07-17,1235.3,95.13,46.02,2.314,1.16,1.77,1243.4
2017-07-18,1243.4,94.6,46.4,2.261,1.16,1.76,1243.4
2017-07-19,1243.4,94.78,47.12,2.271,1.16,1.76,1246.8
2017-07-20,1246.8,94.31,46.79,2.257,1.16,1.77,1256.0
2017-07-21,1256.0,93.86,45.77,2.237,1.16,1.76,1255.6
2017-07-24,1255.6,93.98,46.34,2.257,1.16,1.78,1253.5
2017-07-25,1253.5,94.05,47.89,2.332,1.16,1.81,1250.8
2017-07-26,1250.8,93.67,48.75,2.293,1.16,1.8,1261.5
2017-07-27,1261.5,93.86,49.04,2.319,1.16,1.83,1271.9
2017-07-28,1271.9,93.26,49.71,2.291,1.16,1.83,1270.1
2017-07-31,1270.1,92.86,50.17,2.296,1.07,1.82,1276.1
2017-08-01,1276.1,93.04,49.16,2.253,1.16,1.79,1275.1
2017-08-02,1275.1,92.84,49.59,2.271,1.16,1.79,1271.1
2017-08-03,1271.1,92.84,49.03,2.219,1.16,1.78,1261.3
2017-08-04,1261.3,93.54,49.58,2.264,1.16,1.8,1261.4
2017-08-07,1261.4,93.43,49.39,2.257,1.16,1.8,1259.3
2017-08-08,1259.3,93.65,49.17,2.262,1.16,1.83,1276.0
2017-08-09,1276.0,93.55,49.56,2.249,1.16,1.82,1286.7
2017-08-10,1286.7,93.4,48.59,2.201,1.16,1.8,1290.7
2017-08-11,1290.7,93.07,48.82,2.191,1.16,1.79,1287.0
2017-08-14,1287.0,93.41,47.59,2.224,1.16,1.77,1276.3
2017-08-15,1276.3,93.85,47.55,2.273,1.16,1.78,1279.5
2017-08-16,1279.5,93.54,46.78,2.226,1.16,1.78,1289.1
2017-08-17,1289.1,93.62,47.09,2.185,1.16,1.77,1288.3
2017-08-18,1288.3,93.43,48.51,2.197,1.16,1.76,1293.3
2017-08-21,1293.3,93.09,47.37,2.183,1.16,1.75,1287.6
2017-08-22,1287.6,93.55,47.64,2.217,1.16,1.77,1291.3
2017-08-23,1291.3,93.15,48.41,2.169,1.16,1.75,1288.6
2017-08-24,1288.6,93.28,47.43,2.196,1.16,1.75,1294.5
2017-08-25,1294.5,92.74,47.87,2.169,1.16,1.75,1311.8
2017-08-28,1311.8,92.21,46.57,2.159,1.16,1.75,1315.3
2017-08-29,1315.3,92.25,46.44,2.129,1.16,1.74,1312.3
2017-08-30,1312.3,92.88,45.96,2.136,1.16,1.76,1320.4
2017-08-31,1320.4,92.67,47.23,2.121,1.07,1.76,1328.5
2017-09-01,1328.5,92.81,47.29,2.166,1.16,1.79,1344.5
2017-09-05,1342.6,92.25,48.66,2.063,1.16,1.77,1337.1
2017-09-06,1337.1,92.29,49.16,2.106,1.16,1.78,1348.4
2017-09-07,1348.4,91.66,49.09,2.042,1.16,1.79,1349.1
2017-09-08,1349.1,91.35,47.48,2.054,1.16,1.81,1333.2
2017-09-11,1333.2,91.9,48.07,2.134,1.16,1.83,1330.5
2017-09-12,1330.5,91.88,48.23,2.167,1.16,1.84,1325.6
2017-09-13,1325.6,92.52,49.3,2.194,1.16,1.85,1326.9
2017-09-14,1326.9,92.12,49.89,2.187,1.16,1.85,1322.9
2017-09-15,1322.9,91.87,49.89,2.202,1.16,1.85,1308.3
2017-09-18,1308.3,92.05,49.91,2.234,1.16,1.87,1308.2
2017-09-19,1308.2,91.79,49.48,2.246,1.16,1.87,1314.0
2017-09-20,1314.0,92.51,50.41,2.273,1.16,1.85,1292.2
2017-09-21,1292.2,92.19,50.55,2.278,1.16,1.83,1294.9
2017-09-22,1294.9,92.17,50.66,2.253,1.16,1.84,1308.8
2017-09-25,1308.8,92.65,52.22,2.222,1.16,1.84,1299.5
2017-09-26,1299.5,92.97,51.88,2.236,1.16,1.84,1285.8
2017-09-27,1285.8,93.36,52.14,2.31,1.16,1.87,1288.7
2017-09-28,1288.7,93.08,51.56,2.309,1.16,1.87,1284.8
2017-09-29,1284.8,93.08,51.67,2.339,1.06,1.84,1275.8
2017-10-02,1275.8,93.56,50.58,2.341,1.16,1.83,1274.6
2017-10-03,1274.6,93.57,50.42,2.325,1.16,1.84,1276.8
2017-10-04,1276.8,93.46,49.98,2.323,1.16,1.85,1273.2
2017-10-05,1273.2,93.96,50.79,2.348,1.16,1.86,1274.9
2017-10-06,1274.9,93.8,49.29,2.361,1.16,1.87,1285.0
2017-10-10,1293.8,93.29,50.92,2.355,1.16,1.88,1288.9
2017-10-11,1288.9,93.02,51.3,2.353,1.16,1.89,1296.5
2017-10-12,1296.5,93.06,50.6,2.321,1.16,1.89,1304.6
2017-10-13,1304.6,93.09,51.45,2.275,1.16,1.85,1303.0
2017-10-16,1303.0,93.31,51.87,2.305,1.16,1.84,1286.2
2017-10-17,1286.2,93.51,51.88,2.302,1.16,1.82,1283.0
2017-10-18,1283.0,93.36,52.04,2.345,1.16,1.84,1290.0
2017-10-19,1290.0,93.16,51.29,2.318,1.16,1.84,1280.5
2017-10-20,1280.5,93.7,51.47,2.383,1.16,1.87,1280.9
2017-10-23,1280.9,93.94,51.9,2.37,1.16,1.86,1278.3
2017-10-24,1278.3,93.77,52.47,2.421,1.16,1.87,1279.0
2017-10-25,1279.0,93.71,52.18,2.435,1.16,1.88,1269.6
2017-10-26,1269.6,94.61,52.64,2.463,1.16,1.89,1271.8
2017-10-27,1271.8,94.92,53.9,2.415,1.16,1.88,1279.8
2017-10-30,1279.8,94.56,54.15,2.37,1.16,1.87,1272.4
2017-10-31,1272.4,94.55,54.38,2.378,1.07,1.88,1279.2
2017-11-01,1279.2,94.81,54.3,2.372,1.16,1.88,1279.8
2017-11-02,1279.8,94.69,54.54,2.349,1.16,1.87,1270.8
2017-11-03,1270.8,94.94,55.64,2.332,1.16,1.86,1283.3
2017-11-06,1283.3,94.76,57.35,2.318,1.16,1.86,1277.5
2017-11-07,1277.5,94.91,57.2,2.316,1.16,1.88,1285.4
2017-11-08,1285.4,94.87,56.81,2.334,1.16,1.87,1289.2
2017-11-09,1289.2,94.44,57.17,2.34,1.16,1.87,1275.9
2017-11-10,1275.9,94.39,56.74,2.402,1.16,1.88,1280.6
2017-11-13,1280.6,94.49,56.76,2.407,1.16,1.88,1284.6
2017-11-14,1284.6,93.83,55.7,2.375,1.16,1.87,1279.4
2017-11-15,1279.4,93.81,55.33,2.326,1.16,1.85,1279.9
2017-11-16,1279.9,93.93,55.14,2.375,1.16,1.84,1298.2
2017-11-17,1298.2,93.66,56.55,2.345,1.16,1.86,1277.1
2017-11-20,1277.1,94.08,56.09,2.368,1.16,1.85,1283.5
2017-11-21,1283.5,93.95,56.83,2.358,1.16,1.84,1294.1
2017-11-22,1294.1,93.22,58.02,2.32,1.16,1.84,1287.3
2017-11-24,1289.2,92.78,58.95,2.34,1.16,1.84,1296.2
2017-11-27,1296.2,92.9,58.11,2.331,1.16,1.83,1296.6
2017-11-28,1296.6,93.27,57.99,2.326,1.16,1.84,1286.2
2017-11-29,1286.2,93.16,57.3,2.388,1.16,1.84,1276.7
2017-11-30,1276.7,93.05,57.4,2.415,1.07,1.86,1282.3
2017-12-01,1282.3,92.89,58.36,2.363,1.16,1.86,1277.7
2017-12-04,1277.7,93.19,57.47,2.372,1.16,1.87,1264.9
2017-12-05,1264.9,93.38,57.62,2.353,1.16,1.86,1266.1
2017-12-06,1266.1,93.61,55.96,2.34,1.16,1.86,1253.1
2017-12-07,1253.1,93.8,56.69,2.362,1.16,1.87,1248.4
2017-12-08,1248.4,93.9,57.36,2.378,1.16,1.88,1246.9
2017-12-11,1246.9,93.87,57.99,2.39,1.16,1.88,1241.7
2017-12-12,1241.7,94.1,57.14,2.403,1.17,1.89,1248.6
2017-12-13,1248.6,93.43,56.6,2.348,1.17,1.88,1257.1
2017-12-14,1257.1,93.49,57.04,2.349,1.41,1.87,1257.5
2017-12-15,1257.5,93.93,57.3,2.351,1.41,1.88,1265.5
2017-12-18,1265.5,93.69,57.16,2.394,1.42,1.89,1264.2
2017-12-19,1264.2,93.44,57.46,2.459,1.42,1.91,1269.6
2017-12-20,1269.6,93.31,58.09,2.497,1.42,1.92,1270.6
2017-12-21,1270.6,93.28,58.36,2.484,1.42,1.93,1278.8
2017-12-22,1278.8,93.35,58.47,2.485,1.42,1.94,1285.1
2017-12-26,1287.5,93.26,59.97,2.474,1.42,1.94,1291.4
2017-12-27,1291.4,93.03,59.64,2.412,1.42,1.94,1299.5
2017-12-28,1299.5,92.6,59.84,2.434,1.42,1.96,1311.4
2017-12-29,1311.4,92.12,60.42,2.405,1.33,1.96,1316.1
2018-01-02,1318.3,91.87,60.37,2.461,1.42,2.0,1320.8
2018-01-03,1320.8,92.16,61.63,2.445,1.42,1.98,1323.9
2018-01-04,1323.9,91.85,62.01,2.453,1.42,2.01,1324.5
2018-01-05,1324.5,91.95,61.44,2.476,1.42,2.01,1322.7
2018-01-08,1322.7,92.36,61.73,2.48,1.42,2.02,1315.9
2018-01-09,1315.9,92.53,62.96,2.551,1.42,2.03,1321.6
2018-01-10,1321.6,92.33,63.57,2.559,1.42,2.03,1324.7
2018-01-11,1324.7,91.85,63.8,2.537,1.42,2.0,1337.2
2018-01-12,1337.2,90.97,64.3,2.55,1.42,2.01,1337.1
2018-01-16,1339.3,90.39,63.73,2.539,1.42,2.03,1341.4
2018-01-17,1341.4,90.54,63.97,2.587,1.42,2.04,1329.5
2018-01-18,1329.5,90.5,63.95,2.624,1.42,2.05,1335.3
2018-01-19,1335.3,90.57,63.37,2.661,1.42,2.06,1334.3
2018-01-22,1334.3,90.4,63.49,2.656,1.42,2.06,1339.0
2018-01-23,1339.0,90.12,64.47,2.617,1.42,2.06,1358.7
2018-01-24,1358.7,89.21,65.61,2.648,1.42,2.07,1365.2
